Model,MSE,RMSE,R²
Linear Regression,24.291119474973513,4.928602182665336,0.668759493535632
Ridge Regression,24.312903830491614,4.930811680696355,0.6684624359643558
Random Forest,7.912745333333333,2.8129602438238144,0.8920995891343227
